Síncrono,Assíncrono
0.007594419,0.004707404
0.002336804,0.000605914
0.00210663,0.000625633
0.001939679,0.000594671
0.002026817,0.000575952
0.001793715,0.000615582
0.001709489,0.000579683
0.001653165,0.00056737
0.001660514,0.000682173
0.001755257,0.000619966
0.001977162,0.000633228
0.001726753,0.000648505
0.001635222,0.000613793
0.001640555,0.000595785
0.001653155,0.000604285
0.001690295,0.0006078
0.0016688,0.000576405
0.001717382,0.000555039
0.001725735,0.025318467
0.001635978,0.000521872
0.001758161,0.000542188
0.001664401,0.000562306
0.00198392,0.000531483
0.002220788,0.000510411
0.002025274,0.000613927
0.001700968,0.000552619
0.001776822,0.000563159
0.001741234,0.000571281
0.001786305,0.000564532
0.001735701,0.000584379
0.001696032,0.000563693
0.001702868,0.000555891
0.001868147,0.000686104
0.00168433,0.000596806
0.001780731,0.000598792
0.001619084,0.000548833
0.001606565,0.000536267
0.001786791,0.000576409
0.00168966,0.024108321
0.00297192,0.001602059
0.001974443,0.000564725
0.001853718,0.000531785
0.001902946,0.000540137
0.002004627,0.000561742
0.001991512,0.000549822
0.001875629,0.00055263
0.001802847,0.000553154
0.001848327,0.000554289
0.001673243,0.000548224
0.001732668,0.000577647
